IQ-TREE multicore version 2.1.3 COVID-edition for Linux 64-bit built Apr 21 2021
Developed by Bui Quang Minh, James Barbetti, Nguyen Lam Tung,
Olga Chernomor, Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    gombessa.rcs.alaska.edu (AVX2, FMA3, 503 GB RAM)
Command: /export/scratch/tsvanorden/Char_Phylogenetics/src/iqtree-2.1.3-Linux/bin/iqtree2 -s 4363at7898.fltrd_aligned.fas -m MFP -bb 1000 -T 1
Seed:    34007 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Tue Dec  2 14:50:04 2025
Kernel:  AVX+FMA - 1 threads (1 CPU cores detected)

Reading alignment file 4363at7898.fltrd_aligned.fas ... Fasta format detected
Alignment most likely contains DNA/RNA sequences
WARNING: 74 sites contain only gaps or ambiguous characters.
Alignment has 20 sequences with 6648 columns, 351 distinct patterns
195 parsimony-informative, 299 singleton sites, 6154 constant sites
                                Gap/Ambiguity  Composition  p-value
   1  251140_Ward_Creek                14.94%    passed     99.99%
   2  260512_Pybus_Point               14.94%    passed     99.99%
   3  261935_Kenai_River               14.62%    passed     99.99%
   4  353213_Cropley_Lake              14.94%    passed     99.99%
   5  353219_Peterson_Creek            14.94%    passed     99.99%
   6  353220_Fish_Creek                23.19%    passed     92.14%
   7  353246_Cottonwood_Creek          14.94%    passed     99.98%
   8  353379_Skagit_River              12.32%    passed     99.76%
   9  353381_Dungeness_River           22.83%    passed     73.41%
  10  353401_Peace_River               15.03%    passed     99.91%
  11  353407_Noatok                    14.94%    passed     99.97%
  12  353410_Horizon_Lake              15.70%    passed     81.19%
  13  92319_Little_Lost                14.41%    passed     62.80%
  14  94280_St_Joe                     12.38%    passed     77.09%
  15  GCA016432855_Lake_Trout          15.12%    passed     78.33%
  16  GCA036784925_Maine_S_alpinus     12.95%    passed     38.70%
  17  GCA045679555_Iceland_A_alpinus   15.66%    passed     98.64%
  18  GCF013265735_Rainbow_Trout       18.10%    passed     57.99%
  19  GCF029448725_Brook_Trout         16.83%    passed     88.46%
  20  Methow_River_99895               13.36%    passed     98.85%
****  TOTAL                            15.61%  0 sequences failed composition chi2 test (p-value<5%; df=3)
NOTE: 353213_Cropley_Lake is identical to 251140_Ward_Creek but kept for subsequent analysis
NOTE: 1 identical sequences (see below) will be ignored for subsequent analysis
NOTE: 353219_Peterson_Creek (identical to 251140_Ward_Creek) is ignored but added at the end
Alignment was printed to 4363at7898.fltrd_aligned.fas.uniqueseq.phy

For your convenience alignment with unique sequences printed to 4363at7898.fltrd_aligned.fas.uniqueseq.phy


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.001 seconds
Perform fast likelihood tree search using GTR+I+G model...
Estimate model parameters (epsilon = 5.000)
Perform nearest neighbor interchange...
Estimate model parameters (epsilon = 1.000)
1. Initial log-likelihood: -12802.190
Optimal log-likelihood: -12802.180
Rate parameters:  A-C: 0.90195  A-G: 1.95788  A-T: 1.43914  C-G: 1.03368  C-T: 2.56766  G-T: 1.00000
Base frequencies:  A: 0.210  C: 0.278  G: 0.280  T: 0.231
Proportion of invariable sites: 0.463
Gamma shape alpha: 0.345
Parameters optimization took 1 rounds (0.006 sec)
Time for fast ML tree search: 0.046 seconds

NOTE: ModelFinder requires 3 MB RAM!
ModelFinder will test up to 286 DNA models (sample size: 6648) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  GTR+F         12894.524    43  25875.049    25875.622    26167.538
  2  GTR+F+I       12804.347    44  25696.694    25697.294    25995.985
  3  GTR+F+G4      12806.467    44  25700.935    25701.534    26000.226
  4  GTR+F+I+G4    12802.174    45  25694.348    25694.976    26000.442
  5  GTR+F+R2      12801.106    45  25692.212    25692.839    25998.305
  6  GTR+F+R3      12801.497    47  25696.995    25697.678    26016.692
 15  SYM+I         12845.504    41  25773.007    25773.529    26051.892
 16  SYM+G4        12847.520    41  25777.040    25777.561    26055.925
 17  SYM+I+G4      12843.250    42  25770.500    25771.047    26056.187
 18  SYM+R2        12842.153    42  25768.306    25768.853    26053.993
 28  TVM+F+I       12806.503    43  25699.006    25699.579    25991.495
 29  TVM+F+G4      12808.657    43  25703.314    25703.887    25995.804
 30  TVM+F+I+G4    12804.355    44  25696.711    25697.310    25996.002
 31  TVM+F+R2      12803.307    44  25694.614    25695.214    25993.905
 41  TVMe+I        12848.415    40  25776.830    25777.326    26048.913
 42  TVMe+G4       12850.532    40  25781.064    25781.561    26053.147
 43  TVMe+I+G4     12846.213    41  25774.426    25774.947    26053.311
 44  TVMe+R2       12845.133    41  25772.266    25772.787    26051.151
 54  TIM3+F+I      12806.686    42  25697.372    25697.919    25983.059
 55  TIM3+F+G4     12808.884    42  25701.768    25702.315    25987.455
 56  TIM3+F+I+G4   12804.524    43  25695.049    25695.622    25987.538
 57  TIM3+F+R2     12803.453    43  25692.905    25693.478    25985.394
 67  TIM3e+I       12847.716    39  25773.432    25773.904    26038.713
 68  TIM3e+G4      12849.722    39  25777.443    25777.916    26042.724
 69  TIM3e+I+G4    12845.474    40  25770.948    25771.444    26043.030
 70  TIM3e+R2      12844.389    40  25768.779    25769.275    26040.862
 80  TIM2+F+I      12807.308    42  25698.616    25699.163    25984.303
 81  TIM2+F+G4     12809.304    42  25702.608    25703.155    25988.295
 82  TIM2+F+I+G4   12805.124    43  25696.248    25696.821    25988.737
 83  TIM2+F+R2     12804.094    43  25694.189    25694.761    25986.678
 93  TIM2e+I       12847.770    39  25773.541    25774.013    26038.822
 94  TIM2e+G4      12849.753    39  25777.506    25777.978    26042.786
 95  TIM2e+I+G4    12845.512    40  25771.024    25771.520    26043.107
 96  TIM2e+R2      12844.414    40  25768.829    25769.325    26040.912
106  TIM+F+I       12806.261    42  25696.521    25697.068    25982.208
107  TIM+F+G4      12808.266    42  25700.533    25701.080    25986.220
108  TIM+F+I+G4    12804.049    43  25694.099    25694.672    25986.588
109  TIM+F+R2      12802.984    43  25691.968    25692.541    25984.457
119  TIMe+I        12845.799    39  25769.598    25770.070    26034.878
