IQ-TREE multicore version 2.1.3 COVID-edition for Linux 64-bit built Apr 21 2021
Developed by Bui Quang Minh, James Barbetti, Nguyen Lam Tung,
Olga Chernomor, Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    gombessa.rcs.alaska.edu (AVX2, FMA3, 503 GB RAM)
Command: /export/scratch/tsvanorden/Char_Phylogenetics/src/iqtree-2.1.3-Linux/bin/iqtree2 -s 59457at7898.fltrd_aligned.fas -m MFP -bb 1000 -T 1
Seed:    168414 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Tue Dec  2 14:49:19 2025
Kernel:  AVX+FMA - 1 threads (1 CPU cores detected)

Reading alignment file 59457at7898.fltrd_aligned.fas ... Fasta format detected
Alignment most likely contains DNA/RNA sequences
Alignment has 20 sequences with 1467 columns, 134 distinct patterns
38 parsimony-informative, 293 singleton sites, 1136 constant sites
                                Gap/Ambiguity  Composition  p-value
   1  251140_Ward_Creek                18.20%    passed     87.42%
   2  260512_Pybus_Point                6.13%    passed     99.77%
   3  261935_Kenai_River                5.52%    passed     99.92%
   4  353213_Cropley_Lake               6.13%    passed     99.77%
   5  353219_Peterson_Creek             4.50%    passed     99.54%
   6  353220_Fish_Creek                 6.13%    passed     99.78%
   7  353246_Cottonwood_Creek           6.13%    passed     99.74%
   8  353379_Skagit_River               4.50%    passed     99.99%
   9  353381_Dungeness_River           41.92%    passed     16.82%
  10  353401_Peace_River                4.50%    passed     99.99%
  11  353407_Noatok                     6.13%    passed     99.96%
  12  353410_Horizon_Lake               6.34%    passed     99.84%
  13  92319_Little_Lost                15.34%    passed     93.77%
  14  94280_St_Joe                      5.73%    passed     99.51%
  15  GCA016432855_Lake_Trout           5.52%    passed     99.76%
  16  GCA036784925_Maine_S_alpinus      6.13%    passed     99.88%
  17  GCA045679555_Iceland_A_alpinus    4.09%    passed     99.98%
  18  GCF013265735_Rainbow_Trout        5.11%    passed     99.71%
  19  GCF029448725_Brook_Trout          1.23%    passed     95.65%
  20  Methow_River_99895                4.50%    passed     99.99%
****  TOTAL                             8.19%  0 sequences failed composition chi2 test (p-value<5%; df=3)
NOTE: 353213_Cropley_Lake is identical to 260512_Pybus_Point but kept for subsequent analysis
NOTE: 353401_Peace_River is identical to 353379_Skagit_River but kept for subsequent analysis
NOTE: 1 identical sequences (see below) will be ignored for subsequent analysis
NOTE: Methow_River_99895 (identical to 353379_Skagit_River) is ignored but added at the end
Alignment was printed to 59457at7898.fltrd_aligned.fas.uniqueseq.phy

For your convenience alignment with unique sequences printed to 59457at7898.fltrd_aligned.fas.uniqueseq.phy


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.000 seconds
Perform fast likelihood tree search using GTR+I+G model...
Estimate model parameters (epsilon = 5.000)
Perform nearest neighbor interchange...
Estimate model parameters (epsilon = 1.000)
1. Initial log-likelihood: -3396.350
Optimal log-likelihood: -3395.543
Rate parameters:  A-C: 0.96235  A-G: 1.68597  A-T: 0.62774  C-G: 0.89845  C-T: 1.59689  G-T: 1.00000
Base frequencies:  A: 0.198  C: 0.286  G: 0.285  T: 0.231
Proportion of invariable sites: 0.387
Gamma shape alpha: 1.865
Parameters optimization took 1 rounds (0.006 sec)
Time for fast ML tree search: 0.022 seconds

NOTE: ModelFinder requires 1 MB RAM!
ModelFinder will test up to 286 DNA models (sample size: 1467) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  GTR+F         3396.637     43  6879.273     6881.932     7106.785
  2  GTR+F+I       3394.221     44  6876.443     6879.228     7109.246
  3  GTR+F+G4      3393.181     44  6874.361     6877.146     7107.164
  4  GTR+F+I+G4    3394.373     45  6878.746     6881.659     7116.839
  5  GTR+F+R2      3393.685     45  6877.370     6880.284     7115.464
  6  GTR+F+R3      3393.309     47  6880.618     6883.798     7129.294
 14  SYM           3416.864     40  6913.727     6916.027     7125.366
 15  SYM+I         3414.865     41  6911.731     6914.147     7128.661
 16  SYM+G4        3413.760     41  6909.520     6911.937     7126.450
 18  SYM+R2        3414.205     42  6912.410     6914.947     7134.631
 27  TVM+F         3396.739     42  6877.477     6880.014     7099.698
 28  TVM+F+I       3394.254     43  6874.509     6877.168     7102.021
 29  TVM+F+G4      3393.254     43  6872.508     6875.167     7100.020
 31  TVM+F+R2      3393.754     44  6875.507     6878.292     7108.310
 40  TVMe          3416.866     39  6911.731     6913.918     7118.079
 41  TVMe+I        3414.892     40  6909.784     6912.084     7121.423
 42  TVMe+G4       3413.765     40  6907.531     6909.831     7119.170
 44  TVMe+R2       3414.215     41  6910.431     6912.847     7127.360
 53  TIM3+F        3396.961     41  6875.922     6878.338     7092.852
 54  TIM3+F+I      3394.669     42  6873.339     6875.875     7095.560
 55  TIM3+F+G4     3393.635     42  6871.270     6873.807     7093.491
 57  TIM3+F+R2     3394.100     43  6874.199     6876.858     7101.711
 66  TIM3e         3418.762     38  6913.525     6915.600     7114.582
 67  TIM3e+I       3416.807     39  6911.613     6913.800     7117.961
 68  TIM3e+G4      3415.791     39  6909.582     6911.768     7115.930
 70  TIM3e+R2      3416.190     40  6912.381     6914.681     7124.020
 79  TIM2+F        3398.072     41  6878.144     6880.561     7095.074
 80  TIM2+F+I      3395.083     42  6874.165     6876.702     7096.386
 81  TIM2+F+G4     3394.136     42  6872.273     6874.809     7094.494
 83  TIM2+F+R2     3394.714     43  6875.428     6878.087     7102.940
 92  TIM2e         3419.401     38  6914.802     6916.878     7115.859
 93  TIM2e+I       3416.614     39  6911.229     6913.415     7117.577
 94  TIM2e+G4      3415.660     39  6909.320     6911.506     7115.668
 96  TIM2e+R2      3416.198     40  6912.395     6914.696     7124.034
105  TIM+F         3398.339     41  6878.678     6881.095     7095.608
106  TIM+F+I       3395.226     42  6874.453     6876.990     7096.674
107  TIM+F+G4      3394.351     42  6872.703     6875.239     7094.924
109  TIM+F+R2      3394.951     43  6875.903     6878.562     7103.415
118  TIMe          3421.242     38  6918.483     6920.559     7119.540
119  TIMe+I        3418.374     39  6914.749     6916.935     7121.097
