IQ-TREE multicore version 2.1.3 COVID-edition for Linux 64-bit built Apr 21 2021
Developed by Bui Quang Minh, James Barbetti, Nguyen Lam Tung,
Olga Chernomor, Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    gombessa.rcs.alaska.edu (AVX2, FMA3, 503 GB RAM)
Command: /export/scratch/tsvanorden/Char_Phylogenetics/src/iqtree-2.1.3-Linux/bin/iqtree2 -s 59587at7898.fltrd_aligned.fas -m MFP -bb 1000 -T 1
Seed:    111873 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Tue Dec  2 14:49:53 2025
Kernel:  AVX+FMA - 1 threads (1 CPU cores detected)

Reading alignment file 59587at7898.fltrd_aligned.fas ... Fasta format detected
Alignment most likely contains DNA/RNA sequences
Alignment has 20 sequences with 1794 columns, 117 distinct patterns
41 parsimony-informative, 100 singleton sites, 1653 constant sites
                                Gap/Ambiguity  Composition  p-value
   1  251140_Ward_Creek                 1.17%    passed     99.88%
   2  260512_Pybus_Point                1.17%    passed     99.84%
   3  261935_Kenai_River                5.85%    passed     89.58%
   4  353213_Cropley_Lake               1.17%    passed     99.84%
   5  353219_Peterson_Creek             1.17%    passed     99.84%
   6  353220_Fish_Creek                 1.17%    passed     99.84%
   7  353246_Cottonwood_Creek           1.17%    passed     99.84%
   8  353379_Skagit_River               1.17%    passed     99.77%
   9  353381_Dungeness_River           14.88%    passed     20.04%
  10  353401_Peace_River                1.17%    passed     99.77%
  11  353407_Noatok                     1.17%    passed     99.82%
  12  353410_Horizon_Lake               1.00%    passed     99.70%
  13  92319_Little_Lost                12.54%    passed     94.99%
  14  94280_St_Joe                      1.17%    passed     99.77%
  15  GCA016432855_Lake_Trout           1.17%    passed     99.73%
  16  GCA036784925_Maine_S_alpinus      1.17%    passed     99.82%
  17  GCA045679555_Iceland_A_alpinus    1.17%    passed     99.82%
  18  GCF013265735_Rainbow_Trout        1.00%    passed     94.08%
  19  GCF029448725_Brook_Trout          1.17%    passed     99.70%
  20  Methow_River_99895                1.51%    passed     94.67%
****  TOTAL                             2.66%  0 sequences failed composition chi2 test (p-value<5%; df=3)
NOTE: 353213_Cropley_Lake is identical to 260512_Pybus_Point but kept for subsequent analysis
NOTE: 94280_St_Joe is identical to 353401_Peace_River but kept for subsequent analysis
NOTE: GCA036784925_Maine_S_alpinus is identical to 353407_Noatok but kept for subsequent analysis
NOTE: 4 identical sequences (see below) will be ignored for subsequent analysis
NOTE: 353219_Peterson_Creek (identical to 260512_Pybus_Point) is ignored but added at the end
NOTE: 353220_Fish_Creek (identical to 260512_Pybus_Point) is ignored but added at the end
NOTE: 353246_Cottonwood_Creek (identical to 260512_Pybus_Point) is ignored but added at the end
NOTE: GCA045679555_Iceland_A_alpinus (identical to 353407_Noatok) is ignored but added at the end
Alignment was printed to 59587at7898.fltrd_aligned.fas.uniqueseq.phy

For your convenience alignment with unique sequences printed to 59587at7898.fltrd_aligned.fas.uniqueseq.phy


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.000 seconds
Perform fast likelihood tree search using GTR+I+G model...
Estimate model parameters (epsilon = 5.000)
Perform nearest neighbor interchange...
Estimate model parameters (epsilon = 1.000)
1. Initial log-likelihood: -3456.460
Optimal log-likelihood: -3456.460
Rate parameters:  A-C: 1.08607  A-G: 1.74109  A-T: 1.67555  C-G: 0.63314  C-T: 2.87250  G-T: 1.00000
Base frequencies:  A: 0.272  C: 0.241  G: 0.288  T: 0.200
Proportion of invariable sites: 0.460
Gamma shape alpha: 1.171
Parameters optimization took 1 rounds (0.002 sec)
Time for fast ML tree search: 0.014 seconds

NOTE: ModelFinder requires 1 MB RAM!
ModelFinder will test up to 286 DNA models (sample size: 1794) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  GTR+F         3463.408     37  7000.816     7002.417     7204.027
  2  GTR+F+I       3456.267     38  6988.534     6990.222     7197.237
  3  GTR+F+G4      3456.377     38  6988.753     6990.442     7197.457
  4  GTR+F+I+G4    3456.460     39  6990.920     6992.699     7205.116
  5  GTR+F+R2      3459.643     39  6997.285     6999.064     7211.481
  6  GTR+F+R3      3457.099     41  6996.198     6998.164     7221.378
 14  SYM           3479.655     34  7027.310     7028.663     7214.045
 15  SYM+I         3472.670     35  7015.339     7016.773     7207.566
 16  SYM+G4        3472.788     35  7015.575     7017.009     7207.803
 17  SYM+I+G4      3472.867     36  7017.733     7019.249     7215.452
 27  TVM+F         3465.833     36  7003.667     7005.183     7201.386
 28  TVM+F+I       3458.433     37  6990.866     6992.467     7194.077
 29  TVM+F+G4      3458.543     37  6991.085     6992.687     7194.297
 30  TVM+F+I+G4    3458.642     38  6993.285     6994.974     7201.989
 40  TVMe          3480.282     33  7026.565     7027.840     7207.808
 41  TVMe+I        3473.138     34  7014.277     7015.630     7201.012
 42  TVMe+G4       3473.260     34  7014.520     7015.873     7201.255
 43  TVMe+I+G4     3473.343     35  7016.686     7018.120     7208.914
 53  TIM3+F        3465.316     35  7000.633     7002.066     7192.860
 54  TIM3+F+I      3458.619     36  6989.238     6990.755     7186.958
 55  TIM3+F+G4     3458.744     36  6989.487     6991.003     7187.206
 56  TIM3+F+I+G4   3458.813     37  6991.626     6993.227     7194.837
 66  TIM3e         3481.342     32  7026.684     7027.883     7202.435
 67  TIM3e+I       3474.813     33  7015.625     7016.900     7196.868
 68  TIM3e+G4      3474.940     33  7015.880     7017.155     7197.122
 69  TIM3e+I+G4    3475.004     34  7018.008     7019.361     7204.743
 79  TIM2+F        3464.721     35  6999.442     7000.875     7191.669
 80  TIM2+F+I      3457.891     36  6987.783     6989.299     7185.502
 81  TIM2+F+G4     3458.005     36  6988.010     6989.526     7185.729
 82  TIM2+F+I+G4   3458.074     37  6990.149     6991.750     7193.360
 92  TIM2e         3480.332     32  7024.664     7025.863     7200.414
 93  TIM2e+I       3473.518     33  7013.035     7014.310     7194.278
 94  TIM2e+G4      3473.634     33  7013.269     7014.544     7194.511
 95  TIM2e+I+G4    3473.709     34  7015.417     7016.770     7202.152
105  TIM+F         3466.625     35  7003.250     7004.684     7195.477
106  TIM+F+I       3460.214     36  6992.428     6993.944     7190.147
107  TIM+F+G4      3460.342     36  6992.684     6994.200     7190.403
108  TIM+F+I+G4    3460.397     37  6994.794     6996.395     7198.005
118  TIMe          3482.016     32  7028.032     7029.231     7203.782
119  TIMe+I        3475.632     33  7017.264     7018.539     7198.506
120  TIMe+G4       3475.760     33  7017.520     7018.795     7198.763
121  TIMe+I+G4     3475.817     34  7019.634     7020.987     7206.369
131  TPM3u+F       3467.749     34  7003.498     7004.851     7190.233
132  TPM3u+F+I     3460.829     35  6991.657     6993.091     7183.884
133  TPM3u+F+G4    3460.952     35  6991.903     6993.337     7184.130
