IQ-TREE multicore version 2.1.3 COVID-edition for Linux 64-bit built Apr 21 2021
Developed by Bui Quang Minh, James Barbetti, Nguyen Lam Tung,
Olga Chernomor, Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    gombessa.rcs.alaska.edu (AVX2, FMA3, 503 GB RAM)
Command: /export/scratch/tsvanorden/Char_Phylogenetics/src/iqtree-2.1.3-Linux/bin/iqtree2 -s 32800at7898.fltrd_aligned.fas -m MFP -bb 1000 -T 1
Seed:    641989 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Tue Dec  2 14:49:43 2025
Kernel:  AVX+FMA - 1 threads (1 CPU cores detected)

Reading alignment file 32800at7898.fltrd_aligned.fas ... Fasta format detected
Alignment most likely contains DNA/RNA sequences
WARNING: 36 sites contain only gaps or ambiguous characters.
Alignment has 20 sequences with 2248 columns, 84 distinct patterns
10 parsimony-informative, 62 singleton sites, 2176 constant sites
                                Gap/Ambiguity  Composition  p-value
   1  251140_Ward_Creek                 7.52%    passed     91.49%
   2  260512_Pybus_Point                7.52%    passed     90.94%
   3  261935_Kenai_River                7.65%    passed     93.72%
   4  353213_Cropley_Lake               7.52%    passed     91.49%
   5  353219_Peterson_Creek             7.52%    passed     91.49%
   6  353220_Fish_Creek                 7.52%    passed     91.49%
   7  353246_Cottonwood_Creek           7.52%    passed     91.49%
   8  353379_Skagit_River              15.93%    passed     88.62%
   9  353381_Dungeness_River           28.02%    passed     94.44%
  10  353401_Peace_River               10.59%    passed     98.69%
  11  353407_Noatok                     7.65%    passed     90.05%
  12  353410_Horizon_Lake              15.26%    passed     96.21%
  13  92319_Little_Lost                15.93%    passed     92.07%
  14  94280_St_Joe                     15.93%    passed     86.35%
  15  GCA016432855_Lake_Trout          15.66%    passed     96.45%
  16  GCA036784925_Maine_S_alpinus     15.26%    passed     94.80%
  17  GCA045679555_Iceland_A_alpinus   15.26%    passed     94.80%
  18  GCF013265735_Rainbow_Trout       15.66%    passed     96.20%
  19  GCF029448725_Brook_Trout         13.26%    passed     97.72%
  20  Methow_River_99895               15.93%    passed     86.35%
****  TOTAL                            12.65%  0 sequences failed composition chi2 test (p-value<5%; df=3)
NOTE: 353213_Cropley_Lake is identical to 251140_Ward_Creek but kept for subsequent analysis
NOTE: Methow_River_99895 is identical to 94280_St_Joe but kept for subsequent analysis
NOTE: GCA045679555_Iceland_A_alpinus is identical to GCA036784925_Maine_S_alpinus but kept for subsequent analysis
NOTE: 3 identical sequences (see below) will be ignored for subsequent analysis
NOTE: 353219_Peterson_Creek (identical to 251140_Ward_Creek) is ignored but added at the end
NOTE: 353220_Fish_Creek (identical to 251140_Ward_Creek) is ignored but added at the end
NOTE: 353246_Cottonwood_Creek (identical to 251140_Ward_Creek) is ignored but added at the end
Alignment was printed to 32800at7898.fltrd_aligned.fas.uniqueseq.phy

For your convenience alignment with unique sequences printed to 32800at7898.fltrd_aligned.fas.uniqueseq.phy


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.000 seconds
Perform fast likelihood tree search using GTR+I+G model...
Estimate model parameters (epsilon = 5.000)
Perform nearest neighbor interchange...
Estimate model parameters (epsilon = 1.000)
1. Initial log-likelihood: -3585.269
Optimal log-likelihood: -3585.269
Rate parameters:  A-C: 0.88287  A-G: 2.78732  A-T: 1.19570  C-G: 0.45506  C-T: 2.83056  G-T: 1.00000
Base frequencies:  A: 0.228  C: 0.288  G: 0.266  T: 0.218
Proportion of invariable sites: 0.484
Gamma shape alpha: 0.679
Parameters optimization took 1 rounds (0.002 sec)
Time for fast ML tree search: 0.013 seconds

NOTE: ModelFinder requires 0 MB RAM!
ModelFinder will test up to 286 DNA models (sample size: 2248) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  GTR+F         3588.053     39  7254.105     7255.518     7477.099
  2  GTR+F+I       3585.453     40  7250.906     7252.392     7479.618
  3  GTR+F+G4      3585.417     40  7250.833     7252.320     7479.545
  4  GTR+F+I+G4    3585.270     41  7252.539     7254.101     7486.969
  5  GTR+F+R2      3586.830     41  7255.659     7257.220     7490.089
  6  GTR+F+R3      3586.086     43  7258.171     7259.888     7504.036
 14  SYM           3597.224     36  7266.448     7267.653     7472.289
 15  SYM+I         3594.678     37  7263.355     7264.628     7474.914
 16  SYM+G4        3594.635     37  7263.271     7264.543     7474.829
 17  SYM+I+G4      3594.494     38  7264.987     7266.329     7482.263
 27  TVM+F         3588.058     38  7252.115     7253.457     7469.391
 28  TVM+F+I       3585.457     39  7248.914     7250.327     7471.908
 29  TVM+F+G4      3585.421     39  7248.842     7250.255     7471.836
 30  TVM+F+I+G4    3585.271     40  7250.542     7252.029     7479.254
 40  TVMe          3597.223     35  7264.446     7265.586     7464.569
 41  TVMe+I        3594.679     36  7261.359     7262.564     7467.199
 42  TVMe+G4       3594.637     36  7261.274     7262.478     7467.114
 43  TVMe+I+G4     3594.493     37  7262.986     7264.258     7474.545
 53  TIM3+F        3588.729     37  7251.458     7252.731     7463.017
 54  TIM3+F+I      3586.152     38  7248.303     7249.645     7465.580
 55  TIM3+F+G4     3586.112     38  7248.225     7249.566     7465.501
 56  TIM3+F+I+G4   3585.963     39  7249.926     7251.339     7472.920
 66  TIM3e         3597.707     34  7263.413     7264.489     7457.818
 67  TIM3e+I       3595.166     35  7260.332     7261.472     7460.455
 68  TIM3e+G4      3595.122     35  7260.245     7261.384     7460.368
 69  TIM3e+I+G4    3594.975     36  7261.949     7263.154     7467.790
 79  TIM2+F        3589.087     37  7252.173     7253.445     7463.731
 80  TIM2+F+I      3586.506     38  7249.011     7250.353     7466.287
 81  TIM2+F+G4     3586.467     38  7248.935     7250.277     7466.211
 82  TIM2+F+I+G4   3586.321     39  7250.642     7252.055     7473.636
 92  TIM2e         3597.845     34  7263.690     7264.765     7458.095
 93  TIM2e+I       3595.284     35  7260.568     7261.708     7460.691
 94  TIM2e+G4      3595.244     35  7260.487     7261.626     7460.610
 95  TIM2e+I+G4    3595.093     36  7262.186     7263.391     7468.027
105  TIM+F         3589.391     37  7252.782     7254.054     7464.340
106  TIM+F+I       3586.850     38  7249.699     7251.041     7466.976
107  TIM+F+G4      3586.807     38  7249.615     7250.956     7466.891
108  TIM+F+I+G4    3586.666     39  7251.332     7252.745     7474.326
118  TIMe          3597.992     34  7263.984     7265.060     7458.389
119  TIMe+I        3595.463     35  7260.927     7262.066     7461.050
120  TIMe+G4       3595.420     35  7260.841     7261.980     7460.963
121  TIMe+I+G4     3595.272     36  7262.544     7263.749     7468.385
131  TPM3u+F       3588.728     36  7249.456     7250.661     7455.296
132  TPM3u+F+I     3586.153     37  7246.306     7247.579     7457.865
133  TPM3u+F+G4    3586.113     37  7246.227     7247.499     7457.785
