IQ-TREE multicore version 2.1.3 COVID-edition for Linux 64-bit built Apr 21 2021
Developed by Bui Quang Minh, James Barbetti, Nguyen Lam Tung,
Olga Chernomor, Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    gombessa.rcs.alaska.edu (AVX2, FMA3, 503 GB RAM)
Command: /export/scratch/tsvanorden/Char_Phylogenetics/src/iqtree-2.1.3-Linux/bin/iqtree2 -s 67691at7898.fltrd_aligned.fas -m MFP -bb 1000 -T 1
Seed:    728504 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Tue Dec  2 14:49:48 2025
Kernel:  AVX+FMA - 1 threads (1 CPU cores detected)

Reading alignment file 67691at7898.fltrd_aligned.fas ... Fasta format detected
Alignment most likely contains DNA/RNA sequences
Alignment has 20 sequences with 1665 columns, 73 distinct patterns
23 parsimony-informative, 41 singleton sites, 1601 constant sites
                                Gap/Ambiguity  Composition  p-value
   1  251140_Ward_Creek                 6.49%    passed     75.22%
   2  260512_Pybus_Point               12.97%    passed     95.67%
   3  261935_Kenai_River               12.97%    passed     96.12%
   4  353213_Cropley_Lake              12.97%    passed     94.54%
   5  353219_Peterson_Creek             7.93%    passed     97.75%
   6  353220_Fish_Creek                12.97%    passed     95.67%
   7  353246_Cottonwood_Creek          12.97%    passed     95.69%
   8  353379_Skagit_River               8.29%    passed     99.43%
   9  353381_Dungeness_River           12.97%    passed     94.54%
  10  353401_Peace_River                8.29%    passed     99.38%
  11  353407_Noatok                     7.93%    passed     98.45%
  12  353410_Horizon_Lake               2.70%    passed     91.07%
  13  92319_Little_Lost                 8.29%    passed     99.43%
  14  94280_St_Joe                      8.29%    passed     99.38%
  15  GCA016432855_Lake_Trout           2.16%    passed     84.38%
  16  GCA036784925_Maine_S_alpinus     12.97%    passed     96.36%
  17  GCA045679555_Iceland_A_alpinus   12.97%    passed     96.36%
  18  GCF013265735_Rainbow_Trout        7.57%    passed     88.40%
  19  GCF029448725_Brook_Trout         13.15%    passed     98.54%
  20  Methow_River_99895                8.29%    passed     99.38%
****  TOTAL                             9.66%  0 sequences failed composition chi2 test (p-value<5%; df=3)
NOTE: 353381_Dungeness_River is identical to 353213_Cropley_Lake but kept for subsequent analysis
NOTE: 92319_Little_Lost is identical to 353379_Skagit_River but kept for subsequent analysis
NOTE: 94280_St_Joe is identical to 353401_Peace_River but kept for subsequent analysis
NOTE: GCA045679555_Iceland_A_alpinus is identical to GCA036784925_Maine_S_alpinus but kept for subsequent analysis
NOTE: 1 identical sequences (see below) will be ignored for subsequent analysis
NOTE: Methow_River_99895 (identical to 353401_Peace_River) is ignored but added at the end
Alignment was printed to 67691at7898.fltrd_aligned.fas.uniqueseq.phy

For your convenience alignment with unique sequences printed to 67691at7898.fltrd_aligned.fas.uniqueseq.phy


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.000 seconds
Perform fast likelihood tree search using GTR+I+G model...
Estimate model parameters (epsilon = 5.000)
Perform nearest neighbor interchange...
Estimate model parameters (epsilon = 1.000)
1. Initial log-likelihood: -2779.989
Optimal log-likelihood: -2779.989
Rate parameters:  A-C: 0.88769  A-G: 2.32951  A-T: 0.88247  C-G: 0.60254  C-T: 3.71291  G-T: 1.00000
Base frequencies:  A: 0.270  C: 0.238  G: 0.273  T: 0.219
Proportion of invariable sites: 0.481
Gamma shape alpha: 0.537
Parameters optimization took 1 rounds (0.001 sec)
Time for fast ML tree search: 0.011 seconds

NOTE: ModelFinder requires 0 MB RAM!
ModelFinder will test up to 286 DNA models (sample size: 1665) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  GTR+F         2782.839     43  5651.678     5654.012     5884.634
  2  GTR+F+I       2780.013     44  5648.026     5650.470     5886.399
  3  GTR+F+G4      2780.015     44  5648.031     5650.475     5886.404
  4  GTR+F+I+G4    2779.989     45  5649.978     5652.535     5893.769
  5  GTR+F+R2      2781.681     45  5653.362     5655.919     5897.153
  6  GTR+F+R3      2780.790     47  5655.581     5658.371     5910.207
 14  SYM           2787.581     40  5655.161     5657.181     5871.864
 15  SYM+I         2784.803     41  5651.607     5653.729     5873.728
 16  SYM+G4        2784.804     41  5651.609     5653.731     5873.730
 17  SYM+I+G4      2784.782     42  5653.564     5655.791     5881.102
 27  TVM+F         2784.060     42  5652.121     5654.348     5879.659
 28  TVM+F+I       2781.067     43  5648.134     5650.468     5881.090
 29  TVM+F+G4      2781.083     43  5648.166     5650.500     5881.121
 30  TVM+F+I+G4    2781.047     44  5650.093     5652.538     5888.467
 40  TVMe          2788.073     39  5654.146     5656.066     5865.432
 41  TVMe+I        2785.191     40  5650.382     5652.402     5867.085
 42  TVMe+G4       2785.197     40  5650.394     5652.414     5867.098
 43  TVMe+I+G4     2785.171     41  5652.342     5654.464     5874.462
 53  TIM3+F        2783.043     41  5648.086     5650.208     5870.207
 54  TIM3+F+I      2780.239     42  5644.477     5646.704     5872.016
 55  TIM3+F+G4     2780.241     42  5644.481     5646.708     5872.020
 56  TIM3+F+I+G4   2780.216     43  5646.432     5648.767     5879.388
 66  TIM3e         2787.784     38  5651.568     5653.390     5857.436
 67  TIM3e+I       2785.025     39  5648.049     5649.969     5859.335
 68  TIM3e+G4      2785.025     39  5648.051     5649.971     5859.336
 69  TIM3e+I+G4    2785.006     40  5650.011     5652.031     5866.714
 79  TIM2+F        2783.119     41  5648.237     5650.359     5870.358
 80  TIM2+F+I      2780.340     42  5644.680     5646.907     5872.219
 81  TIM2+F+G4     2780.341     42  5644.682     5646.908     5872.220
 82  TIM2+F+I+G4   2780.321     43  5646.642     5648.976     5879.598
 92  TIM2e         2787.825     38  5651.651     5653.474     5857.519
 93  TIM2e+I       2785.070     39  5648.140     5650.060     5859.425
 94  TIM2e+G4      2785.065     39  5648.130     5650.050     5859.416
 95  TIM2e+I+G4    2785.047     40  5650.094     5652.113     5866.797
105  TIM+F         2782.959     41  5647.919     5650.041     5870.040
106  TIM+F+I       2780.211     42  5644.422     5646.649     5871.960
107  TIM+F+G4      2780.211     42  5644.422     5646.649     5871.961
108  TIM+F+I+G4    2780.191     43  5646.383     5648.717     5879.339
118  TIMe          2787.655     38  5651.311     5653.134     5857.179
119  TIMe+I        2784.934     39  5647.869     5649.789     5859.154
120  TIMe+G4       2784.934     39  5647.868     5649.788     5859.154
121  TIMe+I+G4     2784.918     40  5649.835     5651.855     5866.538
131  TPM3u+F       2784.261     40  5648.522     5650.542     5865.225
