IQ-TREE multicore version 2.1.3 COVID-edition for Linux 64-bit built Apr 21 2021
Developed by Bui Quang Minh, James Barbetti, Nguyen Lam Tung,
Olga Chernomor, Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    gombessa.rcs.alaska.edu (AVX2, FMA3, 503 GB RAM)
Command: /export/scratch/tsvanorden/Char_Phylogenetics/src/iqtree-2.1.3-Linux/bin/iqtree2 -s 88417at7898.fltrd_aligned.fas -m MFP -bb 1000 -T 1
Seed:    465947 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Tue Dec  2 14:50:13 2025
Kernel:  AVX+FMA - 1 threads (1 CPU cores detected)

Reading alignment file 88417at7898.fltrd_aligned.fas ... Fasta format detected
Alignment most likely contains DNA/RNA sequences
Alignment has 20 sequences with 1089 columns, 69 distinct patterns
9 parsimony-informative, 37 singleton sites, 1043 constant sites
                                Gap/Ambiguity  Composition  p-value
   1  251140_Ward_Creek                19.28%    passed     98.10%
   2  260512_Pybus_Point               19.28%    passed     98.10%
   3  261935_Kenai_River               19.28%    passed     98.10%
   4  353213_Cropley_Lake               6.34%    passed     71.97%
   5  353219_Peterson_Creek             6.34%    passed     75.97%
   6  353220_Fish_Creek                19.28%    passed     98.10%
   7  353246_Cottonwood_Creek           6.34%    passed     71.97%
   8  353379_Skagit_River              19.28%    passed     98.10%
   9  353381_Dungeness_River           25.90%    passed     75.26%
  10  353401_Peace_River               19.28%    passed     98.10%
  11  353407_Noatok                     6.34%    passed     73.96%
  12  353410_Horizon_Lake              19.28%    passed     98.10%
  13  92319_Little_Lost                19.28%    passed     98.61%
  14  94280_St_Joe                     19.28%    passed     98.61%
  15  GCA016432855_Lake_Trout          13.22%    passed     45.03%
  16  GCA036784925_Maine_S_alpinus     19.28%    passed     98.10%
  17  GCA045679555_Iceland_A_alpinus   19.28%    passed     98.10%
  18  GCF013265735_Rainbow_Trout       15.43%    passed     62.19%
  19  GCF029448725_Brook_Trout         12.67%    passed     99.09%
  20  Methow_River_99895               19.28%    passed     98.61%
****  TOTAL                            16.20%  0 sequences failed composition chi2 test (p-value<5%; df=3)
NOTE: 260512_Pybus_Point is identical to 251140_Ward_Creek but kept for subsequent analysis
NOTE: 353246_Cottonwood_Creek is identical to 353213_Cropley_Lake but kept for subsequent analysis
NOTE: 353401_Peace_River is identical to 353379_Skagit_River but kept for subsequent analysis
NOTE: 94280_St_Joe is identical to 92319_Little_Lost but kept for subsequent analysis
NOTE: 6 identical sequences (see below) will be ignored for subsequent analysis
NOTE: 261935_Kenai_River (identical to 251140_Ward_Creek) is ignored but added at the end
NOTE: 353220_Fish_Creek (identical to 251140_Ward_Creek) is ignored but added at the end
NOTE: 353410_Horizon_Lake (identical to 353379_Skagit_River) is ignored but added at the end
NOTE: GCA036784925_Maine_S_alpinus (identical to 353379_Skagit_River) is ignored but added at the end
NOTE: GCA045679555_Iceland_A_alpinus (identical to 353379_Skagit_River) is ignored but added at the end
NOTE: Methow_River_99895 (identical to 92319_Little_Lost) is ignored but added at the end
Alignment was printed to 88417at7898.fltrd_aligned.fas.uniqueseq.phy

For your convenience alignment with unique sequences printed to 88417at7898.fltrd_aligned.fas.uniqueseq.phy


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.000 seconds
Perform fast likelihood tree search using GTR+I+G model...
Estimate model parameters (epsilon = 5.000)
Perform nearest neighbor interchange...
Estimate model parameters (epsilon = 1.000)
1. Initial log-likelihood: -1824.542
Optimal log-likelihood: -1824.520
Rate parameters:  A-C: 1.37490  A-G: 2.48250  A-T: 1.86168  C-G: 0.19009  C-T: 5.20653  G-T: 1.00000
Base frequencies:  A: 0.270  C: 0.241  G: 0.248  T: 0.241
Proportion of invariable sites: 0.478
Gamma shape alpha: 0.020
Parameters optimization took 1 rounds (0.002 sec)
Time for fast ML tree search: 0.012 seconds

NOTE: ModelFinder requires 0 MB RAM!
ModelFinder will test up to 286 DNA models (sample size: 1089) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  GTR+F         1832.048     33  3730.096     3732.223     3894.865
  2  GTR+F+I       1824.372     34  3716.745     3719.003     3886.507
  3  GTR+F+G4      1826.205     34  3720.410     3722.668     3890.173
  4  GTR+F+I+G4    1824.508     35  3719.016     3721.409     3893.771
  5  GTR+F+R2      1830.204     35  3730.409     3732.802     3905.164
  6  GTR+F+R3      1828.441     37  3730.882     3733.557     3915.623
 14  SYM           1833.291     30  3726.583     3728.341     3876.373
 15  SYM+I         1825.585     31  3713.171     3715.048     3867.954
 16  SYM+G4        1827.433     31  3716.865     3718.742     3871.649
 17  SYM+I+G4      1825.729     32  3715.458     3717.458     3875.234
 27  TVM+F         1833.190     32  3730.379     3732.379     3890.156
 28  TVM+F+I       1825.832     33  3717.665     3719.792     3882.434
 29  TVM+F+G4      1827.435     33  3720.869     3722.996     3885.639
 30  TVM+F+I+G4    1825.910     34  3719.820     3722.078     3889.583
 40  TVMe          1834.159     29  3726.318     3727.961     3871.115
 41  TVMe+I        1826.724     30  3713.448     3715.206     3863.239
 42  TVMe+G4       1828.373     30  3716.746     3718.504     3866.536
 43  TVMe+I+G4     1826.816     31  3715.632     3717.509     3870.415
 53  TIM3+F        1833.915     31  3729.829     3731.706     3884.613
 54  TIM3+F+I      1826.718     32  3717.437     3719.437     3877.213
 55  TIM3+F+G4     1828.205     32  3720.410     3722.410     3880.187
 56  TIM3+F+I+G4   1826.769     33  3719.537     3721.664     3884.307
 66  TIM3e         1835.336     28  3726.672     3728.204     3866.476
 67  TIM3e+I       1828.153     29  3714.307     3715.950     3859.104
 68  TIM3e+G4      1829.632     29  3717.264     3718.908     3862.062
 69  TIM3e+I+G4    1828.195     30  3716.391     3718.149     3866.181
 79  TIM2+F        1832.447     31  3726.894     3728.771     3881.677
 80  TIM2+F+I      1825.272     32  3714.545     3716.545     3874.321
 81  TIM2+F+G4     1826.734     32  3717.467     3719.467     3877.244
 82  TIM2+F+I+G4   1825.307     33  3716.614     3718.741     3881.384
 92  TIM2e         1833.692     28  3723.385     3724.917     3863.189
 93  TIM2e+I       1826.482     29  3710.963     3712.606     3855.761
 94  TIM2e+G4      1827.968     29  3713.936     3715.579     3858.733
 95  TIM2e+I+G4    1826.525     30  3713.049     3714.807     3862.840
105  TIM+F         1834.129     31  3730.257     3732.134     3885.041
106  TIM+F+I       1827.199     32  3718.398     3720.398     3878.174
107  TIM+F+G4      1828.497     32  3720.995     3722.995     3880.771
108  TIM+F+I+G4    1827.212     33  3720.423     3722.550     3885.193
118  TIMe          1835.548     28  3727.096     3728.628     3866.900
119  TIMe+I        1828.629     29  3715.257     3716.900     3860.055
120  TIMe+G4       1829.923     29  3717.846     3719.489     3862.643
121  TIMe+I+G4     1828.645     30  3717.291     3719.049     3867.081
131  TPM3u+F       1835.064     30  3730.129     3731.887     3879.919
132  TPM3u+F+I     1828.197     31  3718.393     3720.270     3873.177
133  TPM3u+F+G4    1829.459     31  3720.918     3722.795     3875.702
134  TPM3u+F+I+G4  1828.204     32  3720.408     3722.408     3880.184
144  TPM3+F        1835.064     30  3730.129     3731.887     3879.919
145  TPM3+F+I      1828.197     31  3718.393     3720.270     3873.177
146  TPM3+F+G4     1829.459     31  3720.918     3722.795     3875.702
