IQ-TREE multicore version 2.1.3 COVID-edition for Linux 64-bit built Apr 21 2021
Developed by Bui Quang Minh, James Barbetti, Nguyen Lam Tung,
Olga Chernomor, Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    gombessa.rcs.alaska.edu (AVX2, FMA3, 503 GB RAM)
Command: /export/scratch/tsvanorden/Char_Phylogenetics/src/iqtree-2.1.3-Linux/bin/iqtree2 -s 19982at7898.fltrd_aligned.fas -m MFP -bb 1000 -T 1
Seed:    640880 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Tue Dec  2 14:50:03 2025
Kernel:  AVX+FMA - 1 threads (1 CPU cores detected)

Reading alignment file 19982at7898.fltrd_aligned.fas ... Fasta format detected
Alignment most likely contains DNA/RNA sequences
WARNING: 64 sites contain only gaps or ambiguous characters.
Alignment has 20 sequences with 2710 columns, 170 distinct patterns
164 parsimony-informative, 83 singleton sites, 2463 constant sites
                                Gap/Ambiguity  Composition  p-value
   1  251140_Ward_Creek                 9.67%    passed     99.73%
   2  260512_Pybus_Point                9.67%    passed     99.73%
   3  261935_Kenai_River                7.34%    passed     96.16%
   4  353213_Cropley_Lake               7.34%    passed     96.30%
   5  353219_Peterson_Creek             4.28%    passed     95.28%
   6  353220_Fish_Creek                 9.67%    passed     99.73%
   7  353246_Cottonwood_Creek           6.90%    passed     99.90%
   8  353379_Skagit_River               9.23%    passed     97.97%
   9  353381_Dungeness_River           13.76%    passed     94.74%
  10  353401_Peace_River                5.13%    passed     99.82%
  11  353407_Noatok                     7.79%    passed     99.63%
  12  353410_Horizon_Lake               5.13%    passed     99.46%
  13  92319_Little_Lost                18.52%    passed     83.67%
  14  94280_St_Joe                      5.13%    passed     99.82%
  15  GCA016432855_Lake_Trout           6.57%    passed     99.35%
  16  GCA036784925_Maine_S_alpinus      5.13%    passed     99.35%
  17  GCA045679555_Iceland_A_alpinus    5.13%    passed     99.35%
  18  GCF013265735_Rainbow_Trout        4.91%    passed     95.78%
  19  GCF029448725_Brook_Trout          6.57%    passed     98.56%
  20  Methow_River_99895                5.13%    passed     99.82%
****  TOTAL                             7.65%  0 sequences failed composition chi2 test (p-value<5%; df=3)
NOTE: 260512_Pybus_Point is identical to 251140_Ward_Creek but kept for subsequent analysis
NOTE: 94280_St_Joe is identical to 353401_Peace_River but kept for subsequent analysis
NOTE: GCA045679555_Iceland_A_alpinus is identical to GCA036784925_Maine_S_alpinus but kept for subsequent analysis
NOTE: 2 identical sequences (see below) will be ignored for subsequent analysis
NOTE: 353220_Fish_Creek (identical to 251140_Ward_Creek) is ignored but added at the end
NOTE: Methow_River_99895 (identical to 353401_Peace_River) is ignored but added at the end
Alignment was printed to 19982at7898.fltrd_aligned.fas.uniqueseq.phy

For your convenience alignment with unique sequences printed to 19982at7898.fltrd_aligned.fas.uniqueseq.phy


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.000 seconds
Perform fast likelihood tree search using GTR+I+G model...
Estimate model parameters (epsilon = 5.000)
Perform nearest neighbor interchange...
Estimate model parameters (epsilon = 1.000)
1. Initial log-likelihood: -5349.885
Optimal log-likelihood: -5349.879
Rate parameters:  A-C: 1.42838  A-G: 1.99198  A-T: 1.11187  C-G: 1.19167  C-T: 2.90493  G-T: 1.00000
Base frequencies:  A: 0.251  C: 0.241  G: 0.284  T: 0.224
Proportion of invariable sites: 0.454
Gamma shape alpha: 4.722
Parameters optimization took 1 rounds (0.003 sec)
Time for fast ML tree search: 0.024 seconds

NOTE: ModelFinder requires 1 MB RAM!
ModelFinder will test up to 286 DNA models (sample size: 2710) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  GTR+F         5354.232     41  10790.464    10791.754    11032.556
  2  GTR+F+I       5350.123     42  10784.245    10785.599    11032.243
  3  GTR+F+G4      5349.622     42  10783.243    10784.598    11031.241
  4  GTR+F+I+G4    5349.876     43  10785.752    10787.171    11039.654
  5  GTR+F+R2      5350.767     43  10787.534    10788.953    11041.436
  6  GTR+F+R3      5349.945     45  10789.891    10791.445    11055.602
 14  SYM           5360.633     38  10797.267    10798.377    11021.646
 15  SYM+I         5356.677     39  10791.354    10792.522    11021.637
 16  SYM+G4        5356.176     39  10790.353    10791.522    11020.636
 17  SYM+I+G4      5356.448     40  10792.897    10794.126    11029.085
 27  TVM+F         5356.271     40  10792.541    10793.770    11028.729
 28  TVM+F+I       5352.290     41  10786.580    10787.871    11028.673
 29  TVM+F+G4      5351.790     41  10785.579    10786.870    11027.672
 30  TVM+F+I+G4    5352.058     42  10788.116    10789.470    11036.114
 40  TVMe          5361.387     37  10796.774    10797.826    11015.248
 41  TVMe+I        5357.480     38  10790.959    10792.069    11015.338
 42  TVMe+G4       5356.982     38  10789.964    10791.074    11014.343
 43  TVMe+I+G4     5357.258     39  10792.517    10793.685    11022.800
 53  TIM3+F        5354.556     39  10787.112    10788.281    11017.396
 54  TIM3+F+I      5350.479     40  10780.959    10782.188    11017.147
 55  TIM3+F+G4     5349.984     40  10779.967    10781.196    11016.155
 56  TIM3+F+I+G4   5350.238     41  10782.477    10783.768    11024.570
 66  TIM3e         5360.748     36  10793.497    10794.493    11006.066
 67  TIM3e+I       5356.799     37  10787.598    10788.651    11006.073
 68  TIM3e+G4      5356.304     37  10786.607    10787.660    11005.081
 69  TIM3e+I+G4    5356.573     38  10789.146    10790.256    11013.525
 79  TIM2+F        5355.106     39  10788.212    10789.380    11018.495
 80  TIM2+F+I      5350.875     40  10781.750    10782.979    11017.938
 81  TIM2+F+G4     5350.377     40  10780.755    10781.984    11016.943
 82  TIM2+F+I+G4   5350.615     41  10783.229    10784.520    11025.322
 92  TIM2e         5361.843     36  10795.686    10796.683    11008.256
 93  TIM2e+I       5357.760     37  10789.519    10790.572    11007.994
 94  TIM2e+G4      5357.263     37  10788.527    10789.579    11007.001
 95  TIM2e+I+G4    5357.518     38  10791.036    10792.145    11015.414
105  TIM+F         5355.421     39  10788.842    10790.010    11019.125
106  TIM+F+I       5351.197     40  10782.394    10783.623    11018.582
107  TIM+F+G4      5350.704     40  10781.407    10782.636    11017.596
108  TIM+F+I+G4    5350.938     41  10783.876    10785.167    11025.969
118  TIMe          5361.947     36  10795.895    10796.892    11008.464
119  TIMe+I        5357.861     37  10789.721    10790.773    11008.195
120  TIMe+G4       5357.367     37  10788.733    10789.786    11007.207
121  TIMe+I+G4     5357.620     38  10791.240    10792.350    11015.619
131  TPM3u+F       5356.604     38  10789.209    10790.319    11013.588
132  TPM3u+F+I     5352.655     39  10783.309    10784.478    11013.593
