IQ-TREE multicore version 2.1.3 COVID-edition for Linux 64-bit built Apr 21 2021
Developed by Bui Quang Minh, James Barbetti, Nguyen Lam Tung,
Olga Chernomor, Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    gombessa.rcs.alaska.edu (AVX2, FMA3, 503 GB RAM)
Command: /export/scratch/tsvanorden/Char_Phylogenetics/src/iqtree-2.1.3-Linux/bin/iqtree2 -s 23939at7898.fltrd_aligned.fas -m MFP -bb 1000 -T 1
Seed:    550014 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Tue Dec  2 14:50:13 2025
Kernel:  AVX+FMA - 1 threads (1 CPU cores detected)

Reading alignment file 23939at7898.fltrd_aligned.fas ... Fasta format detected
Alignment most likely contains DNA/RNA sequences
Alignment has 20 sequences with 2397 columns, 66 distinct patterns
26 parsimony-informative, 84 singleton sites, 2287 constant sites
                                Gap/Ambiguity  Composition  p-value
   1  251140_Ward_Creek                 0.25%    passed    100.00%
   2  260512_Pybus_Point                0.25%    passed    100.00%
   3  261935_Kenai_River                0.25%    passed     99.99%
   4  353213_Cropley_Lake               0.25%    passed     99.99%
   5  353219_Peterson_Creek             0.25%    passed     99.99%
   6  353220_Fish_Creek                 0.25%    passed    100.00%
   7  353246_Cottonwood_Creek           0.25%    passed    100.00%
   8  353379_Skagit_River               0.75%    passed     99.86%
   9  353381_Dungeness_River            8.89%    passed     91.53%
  10  353401_Peace_River                0.75%    passed     99.86%
  11  353407_Noatok                     0.25%    passed     99.94%
  12  353410_Horizon_Lake               0.25%    passed     99.91%
  13  92319_Little_Lost                 0.75%    passed     99.86%
  14  94280_St_Joe                      0.75%    passed     99.86%
  15  GCA016432855_Lake_Trout           0.75%    passed     99.60%
  16  GCA036784925_Maine_S_alpinus      0.25%    passed     99.97%
  17  GCA045679555_Iceland_A_alpinus    0.25%    passed     99.97%
  18  GCF013265735_Rainbow_Trout        0.00%    passed     97.25%
  19  GCF029448725_Brook_Trout          0.00%    passed     99.97%
  20  Methow_River_99895                0.75%    passed     99.90%
****  TOTAL                             0.81%  0 sequences failed composition chi2 test (p-value<5%; df=3)
NOTE: 260512_Pybus_Point is identical to 251140_Ward_Creek but kept for subsequent analysis
NOTE: 92319_Little_Lost is identical to 353401_Peace_River but kept for subsequent analysis
NOTE: GCA045679555_Iceland_A_alpinus is identical to GCA036784925_Maine_S_alpinus but kept for subsequent analysis
NOTE: 3 identical sequences (see below) will be ignored for subsequent analysis
NOTE: 353220_Fish_Creek (identical to 251140_Ward_Creek) is ignored but added at the end
NOTE: 353246_Cottonwood_Creek (identical to 251140_Ward_Creek) is ignored but added at the end
NOTE: 94280_St_Joe (identical to 353401_Peace_River) is ignored but added at the end
Alignment was printed to 23939at7898.fltrd_aligned.fas.uniqueseq.phy

For your convenience alignment with unique sequences printed to 23939at7898.fltrd_aligned.fas.uniqueseq.phy


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.000 seconds
Perform fast likelihood tree search using GTR+I+G model...
Estimate model parameters (epsilon = 5.000)
Perform nearest neighbor interchange...
Estimate model parameters (epsilon = 1.000)
1. Initial log-likelihood: -4030.652
Optimal log-likelihood: -4030.645
Rate parameters:  A-C: 0.53491  A-G: 1.57384  A-T: 0.48071  C-G: 0.32420  C-T: 2.60925  G-T: 1.00000
Base frequencies:  A: 0.230  C: 0.274  G: 0.303  T: 0.194
Proportion of invariable sites: 0.476
Gamma shape alpha: 0.374
Parameters optimization took 1 rounds (0.002 sec)
Time for fast ML tree search: 0.010 seconds

NOTE: ModelFinder requires 0 MB RAM!
ModelFinder will test up to 286 DNA models (sample size: 2397) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  GTR+F         4035.634     39  8149.268     8150.592     8374.765
  2  GTR+F+I       4030.562     40  8141.124     8142.516     8372.403
  3  GTR+F+G4      4030.671     40  8141.341     8142.734     8372.620
  4  GTR+F+I+G4    4030.642     41  8143.283     8144.746     8380.344
  5  GTR+F+R2      4033.785     41  8149.570     8151.033     8386.631
  6  GTR+F+R3      4032.262     43  8150.524     8152.132     8399.149
 14  SYM           4067.223     36  8206.447     8207.576     8414.598
 15  SYM+I         4062.504     37  8199.008     8200.200     8412.941
 16  SYM+G4        4062.554     37  8199.108     8200.300     8413.041
 17  SYM+I+G4      4062.588     38  8201.176     8202.433     8420.891
 27  TVM+F         4037.797     38  8151.593     8152.850     8371.308
 28  TVM+F+I       4032.486     39  8142.973     8144.296     8368.470
 29  TVM+F+G4      4032.665     39  8143.329     8144.653     8368.826
 30  TVM+F+I+G4    4032.574     40  8145.148     8146.540     8376.427
 40  TVMe          4068.348     35  8206.696     8207.763     8409.065
 41  TVMe+I        4063.475     36  8198.949     8200.078     8407.100
 42  TVMe+G4       4063.552     36  8199.105     8200.233     8407.256
 43  TVMe+I+G4     4063.562     37  8201.124     8202.316     8415.057
 53  TIM3+F        4036.880     37  8147.760     8148.952     8361.693
 54  TIM3+F+I      4032.080     38  8140.160     8141.417     8359.875
 55  TIM3+F+G4     4032.131     38  8140.263     8141.520     8359.978
 56  TIM3+F+I+G4   4032.149     39  8142.298     8143.622     8367.795
 66  TIM3e         4068.755     34  8205.510     8206.518     8402.098
 67  TIM3e+I       4064.219     35  8198.439     8199.506     8400.808
 68  TIM3e+G4      4064.239     35  8198.478     8199.545     8400.847
 69  TIM3e+I+G4    4064.293     36  8200.586     8201.715     8408.737
 79  TIM2+F        4038.199     37  8150.397     8151.589     8364.330
 80  TIM2+F+I      4033.586     38  8143.171     8144.428     8362.886
 81  TIM2+F+G4     4033.613     38  8143.226     8144.483     8362.941
 82  TIM2+F+I+G4   4033.657     39  8145.315     8146.638     8370.812
 92  TIM2e         4068.871     34  8205.743     8206.751     8402.330
 93  TIM2e+I       4064.460     35  8198.920     8199.987     8401.289
 94  TIM2e+G4      4064.479     35  8198.959     8200.026     8401.328
 95  TIM2e+I+G4    4064.534     36  8201.067     8202.196     8409.218
105  TIM+F         4036.912     37  8147.823     8149.015     8361.756
106  TIM+F+I       4031.823     38  8139.646     8140.903     8359.361
107  TIM+F+G4      4031.942     38  8139.883     8141.140     8359.598
108  TIM+F+I+G4    4031.906     39  8141.812     8143.136     8367.309
118  TIMe          4068.175     34  8204.350     8205.357     8400.937
119  TIMe+I        4063.370     35  8196.740     8197.808     8399.109
120  TIMe+G4       4063.433     35  8196.866     8197.933     8399.235
121  TIMe+I+G4     4063.455     36  8198.910     8200.038     8407.061
131  TPM3u+F       4039.047     36  8150.094     8151.223     8358.245
132  TPM3u+F+I     4034.011     37  8142.023     8143.215     8355.956
