IQ-TREE multicore version 2.1.3 COVID-edition for Linux 64-bit built Apr 21 2021
Developed by Bui Quang Minh, James Barbetti, Nguyen Lam Tung,
Olga Chernomor, Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    gombessa.rcs.alaska.edu (AVX2, FMA3, 503 GB RAM)
Command: /export/scratch/tsvanorden/Char_Phylogenetics/src/iqtree-2.1.3-Linux/bin/iqtree2 -s 9138at7898.fltrd_aligned.fas -m MFP -bb 1000 -T 1
Seed:    977452 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Tue Dec  2 14:49:53 2025
Kernel:  AVX+FMA - 1 threads (1 CPU cores detected)

Reading alignment file 9138at7898.fltrd_aligned.fas ... Fasta format detected
Alignment most likely contains DNA/RNA sequences
WARNING: 100 sites contain only gaps or ambiguous characters.
Alignment has 20 sequences with 3882 columns, 176 distinct patterns
85 parsimony-informative, 105 singleton sites, 3692 constant sites
                                Gap/Ambiguity  Composition  p-value
   1  251140_Ward_Creek                10.90%    passed     97.45%
   2  260512_Pybus_Point               11.51%    passed     99.26%
   3  261935_Kenai_River               10.90%    passed     97.33%
   4  353213_Cropley_Lake              10.90%    passed     97.89%
   5  353219_Peterson_Creek            11.51%    passed     99.26%
   6  353220_Fish_Creek                10.90%    passed     97.86%
   7  353246_Cottonwood_Creek          11.51%    passed     99.05%
   8  353379_Skagit_River              13.99%    passed     92.26%
   9  353381_Dungeness_River           26.53%    passed     55.88%
  10  353401_Peace_River               13.99%    passed     89.80%
  11  353407_Noatok                    11.51%    passed     99.33%
  12  353410_Horizon_Lake              11.51%    passed     99.44%
  13  92319_Little_Lost                10.69%    passed     68.56%
  14  94280_St_Joe                     13.99%    passed     89.80%
  15  GCA016432855_Lake_Trout          13.68%    passed     93.84%
  16  GCA036784925_Maine_S_alpinus     11.51%    passed     99.55%
  17  GCA045679555_Iceland_A_alpinus   11.51%    passed     99.55%
  18  GCF013265735_Rainbow_Trout        9.35%    passed     91.36%
  19  GCF029448725_Brook_Trout         13.68%    passed     85.58%
  20  Methow_River_99895               13.99%    passed     89.80%
****  TOTAL                            12.70%  0 sequences failed composition chi2 test (p-value<5%; df=3)
NOTE: 353219_Peterson_Creek is identical to 260512_Pybus_Point but kept for subsequent analysis
NOTE: 94280_St_Joe is identical to 353401_Peace_River but kept for subsequent analysis
NOTE: GCA045679555_Iceland_A_alpinus is identical to GCA036784925_Maine_S_alpinus but kept for subsequent analysis
NOTE: 1 identical sequences (see below) will be ignored for subsequent analysis
NOTE: Methow_River_99895 (identical to 353401_Peace_River) is ignored but added at the end
Alignment was printed to 9138at7898.fltrd_aligned.fas.uniqueseq.phy

For your convenience alignment with unique sequences printed to 9138at7898.fltrd_aligned.fas.uniqueseq.phy


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.000 seconds
Perform fast likelihood tree search using GTR+I+G model...
Estimate model parameters (epsilon = 5.000)
Perform nearest neighbor interchange...
Estimate model parameters (epsilon = 1.000)
1. Initial log-likelihood: -6716.011
Optimal log-likelihood: -6716.008
Rate parameters:  A-C: 0.95830  A-G: 2.71133  A-T: 0.67915  C-G: 0.76080  C-T: 1.78487  G-T: 1.00000
Base frequencies:  A: 0.221  C: 0.262  G: 0.275  T: 0.242
Proportion of invariable sites: 0.476
Gamma shape alpha: 0.254
Parameters optimization took 1 rounds (0.003 sec)
Time for fast ML tree search: 0.024 seconds

NOTE: ModelFinder requires 1 MB RAM!
ModelFinder will test up to 286 DNA models (sample size: 3882) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  GTR+F         6745.127     43  13576.255    13577.241    13845.611
  2  GTR+F+I       6716.747     44  13521.494    13522.527    13797.115
  3  GTR+F+G4      6718.941     44  13525.881    13526.913    13801.502
  4  GTR+F+I+G4    6716.007     45  13522.014    13523.093    13803.899
  5  GTR+F+R2      6717.451     45  13524.902    13525.981    13806.787
  6  GTR+F+R3      6715.897     47  13525.793    13526.970    13820.206
 15  SYM+I         6722.861     41  13527.722    13528.619    13784.550
 16  SYM+G4        6724.906     41  13531.813    13532.710    13788.641
 17  SYM+I+G4      6722.077     42  13528.154    13529.095    13791.247
 18  SYM+R2        6723.520     42  13531.039    13531.980    13794.132
 28  TVM+F+I       6718.903     43  13523.806    13524.792    13793.162
 29  TVM+F+G4      6721.166     43  13528.332    13529.318    13797.688
 30  TVM+F+I+G4    6718.196     44  13524.393    13525.425    13800.014
 31  TVM+F+R2      6719.681     44  13527.362    13528.394    13802.983
 41  TVMe+I        6724.728     40  13529.455    13530.309    13780.019
 42  TVMe+G4       6726.833     40  13533.667    13534.521    13784.231
 43  TVMe+I+G4     6723.977     41  13529.954    13530.851    13786.783
 44  TVMe+R2       6725.456     41  13532.913    13533.810    13789.741
 54  TIM3+F+I      6717.689     42  13519.379    13520.320    13782.471
 55  TIM3+F+G4     6719.922     42  13523.844    13524.785    13786.937
 56  TIM3+F+I+G4   6716.955     43  13519.909    13520.895    13789.266
 57  TIM3+F+R2     6718.403     43  13522.806    13523.792    13792.163
 67  TIM3e+I       6724.108     39  13526.216    13527.028    13770.516
 68  TIM3e+G4      6726.200     39  13530.399    13531.211    13774.700
 69  TIM3e+I+G4    6723.339     40  13526.678    13527.532    13777.242
 70  TIM3e+R2      6724.787     40  13529.573    13530.427    13780.137
 80  TIM2+F+I      6717.675     42  13519.349    13520.290    13782.442
 81  TIM2+F+G4     6719.893     42  13523.786    13524.727    13786.878
 82  TIM2+F+I+G4   6716.937     43  13519.873    13520.859    13789.230
 83  TIM2+F+R2     6718.363     43  13522.726    13523.712    13792.083
 93  TIM2e+I       6723.757     39  13525.514    13526.326    13769.814
 94  TIM2e+G4      6725.854     39  13529.708    13530.520    13774.008
 95  TIM2e+I+G4    6722.989     40  13525.978    13526.832    13776.542
 96  TIM2e+R2      6724.412     40  13528.824    13529.678    13779.388
106  TIM+F+I       6716.803     42  13517.607    13518.548    13780.699
107  TIM+F+G4      6719.023     42  13522.046    13522.987    13785.139
108  TIM+F+I+G4    6716.068     43  13518.135    13519.121    13787.492
109  TIM+F+R2      6717.497     43  13520.994    13521.980    13790.351
119  TIMe+I        6723.327     39  13524.653    13525.465    13768.953
120  TIMe+G4       6725.403     39  13528.806    13529.618    13773.106
121  TIMe+I+G4     6722.556     40  13525.111    13525.965    13775.676
122  TIMe+R2       6724.004     40  13528.007    13528.861    13778.571
