IQ-TREE multicore version 2.1.3 COVID-edition for Linux 64-bit built Apr 21 2021
Developed by Bui Quang Minh, James Barbetti, Nguyen Lam Tung,
Olga Chernomor, Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    gombessa.rcs.alaska.edu (AVX2, FMA3, 503 GB RAM)
Command: /export/scratch/tsvanorden/Char_Phylogenetics/src/iqtree-2.1.3-Linux/bin/iqtree2 -s 69640at7898.fltrd_aligned.fas -m MFP -bb 1000 -T 1
Seed:    503977 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Tue Dec  2 14:49:48 2025
Kernel:  AVX+FMA - 1 threads (1 CPU cores detected)

Reading alignment file 69640at7898.fltrd_aligned.fas ... Fasta format detected
Alignment most likely contains DNA/RNA sequences
Alignment has 20 sequences with 1440 columns, 96 distinct patterns
68 parsimony-informative, 49 singleton sites, 1323 constant sites
                                Gap/Ambiguity  Composition  p-value
   1  251140_Ward_Creek                 3.12%    passed     79.72%
   2  260512_Pybus_Point                3.12%    passed     79.72%
   3  261935_Kenai_River               13.54%    passed     97.03%
   4  353213_Cropley_Lake               2.92%    passed     79.38%
   5  353219_Peterson_Creek             2.92%    passed     79.38%
   6  353220_Fish_Creek                 2.92%    passed     76.42%
   7  353246_Cottonwood_Creek           2.92%    passed     79.38%
   8  353379_Skagit_River               3.12%    passed     79.89%
   9  353381_Dungeness_River            7.08%    passed     87.70%
  10  353401_Peace_River                6.46%    passed     61.48%
  11  353407_Noatok                     2.92%    passed     79.38%
  12  353410_Horizon_Lake               6.25%    passed     86.59%
  13  92319_Little_Lost                 0.83%    passed     95.35%
  14  94280_St_Joe                      6.46%    passed     61.48%
  15  GCA016432855_Lake_Trout           6.25%    passed     68.50%
  16  GCA036784925_Maine_S_alpinus      2.92%    passed     74.32%
  17  GCA045679555_Iceland_A_alpinus    6.25%    passed     74.26%
  18  GCF013265735_Rainbow_Trout        7.29%    passed     67.88%
  19  GCF029448725_Brook_Trout          6.25%    passed     73.91%
  20  Methow_River_99895                6.46%    passed     61.48%
****  TOTAL                             5.00%  0 sequences failed composition chi2 test (p-value<5%; df=3)
NOTE: 260512_Pybus_Point is identical to 251140_Ward_Creek but kept for subsequent analysis
NOTE: 353219_Peterson_Creek is identical to 353213_Cropley_Lake but kept for subsequent analysis
NOTE: 94280_St_Joe is identical to 353401_Peace_River but kept for subsequent analysis
NOTE: 3 identical sequences (see below) will be ignored for subsequent analysis
NOTE: 353246_Cottonwood_Creek (identical to 353213_Cropley_Lake) is ignored but added at the end
NOTE: 353407_Noatok (identical to 353213_Cropley_Lake) is ignored but added at the end
NOTE: Methow_River_99895 (identical to 353401_Peace_River) is ignored but added at the end
Alignment was printed to 69640at7898.fltrd_aligned.fas.uniqueseq.phy

For your convenience alignment with unique sequences printed to 69640at7898.fltrd_aligned.fas.uniqueseq.phy


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.000 seconds
Perform fast likelihood tree search using GTR+I+G model...
Estimate model parameters (epsilon = 5.000)
Perform nearest neighbor interchange...
Estimate model parameters (epsilon = 1.000)
1. Initial log-likelihood: -2793.923
Optimal log-likelihood: -2793.923
Rate parameters:  A-C: 0.19040  A-G: 1.30868  A-T: 0.81670  C-G: 0.54803  C-T: 1.78863  G-T: 1.00000
Base frequencies:  A: 0.210  C: 0.282  G: 0.302  T: 0.206
Proportion of invariable sites: 0.458
Gamma shape alpha: 0.964
Parameters optimization took 1 rounds (0.002 sec)
Time for fast ML tree search: 0.010 seconds

NOTE: ModelFinder requires 0 MB RAM!
ModelFinder will test up to 286 DNA models (sample size: 1440) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  GTR+F         2801.138     39  5680.275     5682.504     5885.899
  2  GTR+F+I       2794.532     40  5669.064     5671.408     5879.960
  3  GTR+F+G4      2794.178     40  5668.356     5670.700     5879.252
  4  GTR+F+I+G4    2793.922     41  5669.844     5672.308     5886.013
  5  GTR+F+R2      2797.385     41  5676.771     5679.234     5892.939
  6  GTR+F+R3      2794.799     43  5675.598     5678.309     5902.312
 14  SYM           2816.432     36  5704.865     5706.763     5894.671
 15  SYM+I         2810.282     37  5694.564     5696.569     5889.642
 16  SYM+G4        2809.921     37  5693.841     5695.847     5888.920
 17  SYM+I+G4      2809.726     38  5695.453     5697.568     5895.804
 27  TVM+F         2801.795     38  5679.590     5681.706     5879.941
 28  TVM+F+I       2795.307     39  5668.614     5670.843     5874.237
 29  TVM+F+G4      2794.923     39  5667.846     5670.074     5873.469
 30  TVM+F+I+G4    2794.659     40  5669.317     5671.662     5880.213
 40  TVMe          2816.897     35  5703.794     5705.589     5888.328
 41  TVMe+I        2810.792     36  5693.584     5695.483     5883.391
 42  TVMe+G4       2810.409     36  5692.819     5694.717     5882.625
 43  TVMe+I+G4     2810.207     37  5694.414     5696.419     5889.492
 53  TIM3+F        2803.602     37  5681.205     5683.210     5876.283
 54  TIM3+F+I      2796.860     38  5669.720     5671.836     5870.071
 55  TIM3+F+G4     2796.504     38  5669.007     5671.123     5869.358
 56  TIM3+F+I+G4   2796.224     39  5670.448     5672.677     5876.072
 66  TIM3e         2820.330     34  5708.659     5710.353     5887.921
 67  TIM3e+I       2814.102     35  5698.204     5699.998     5882.737
 68  TIM3e+G4      2813.737     35  5697.473     5699.268     5882.007
 69  TIM3e+I+G4    2813.526     36  5699.051     5700.950     5888.857
 79  TIM2+F        2805.919     37  5685.839     5687.844     5880.917
 80  TIM2+F+I      2799.691     38  5675.381     5677.497     5875.733
 81  TIM2+F+G4     2799.331     38  5674.661     5676.777     5875.012
 82  TIM2+F+I+G4   2799.123     39  5676.246     5678.474     5881.869
 92  TIM2e         2819.686     34  5707.373     5709.066     5886.634
 93  TIM2e+I       2813.675     35  5697.350     5699.145     5881.884
 94  TIM2e+G4      2813.317     35  5696.634     5698.429     5881.168
 95  TIM2e+I+G4    2813.147     36  5698.293     5700.192     5888.099
105  TIM+F         2807.485     37  5688.969     5690.975     5884.048
106  TIM+F+I       2801.110     38  5678.221     5680.336     5878.572
107  TIM+F+G4      2800.751     38  5677.502     5679.617     5877.853
108  TIM+F+I+G4    2800.523     39  5679.047     5681.275     5884.670
118  TIMe          2822.564     34  5713.127     5714.821     5892.389
119  TIMe+I        2816.449     35  5702.897     5704.692     5887.431
120  TIMe+G4       2816.092     35  5702.185     5703.980     5886.719
121  TIMe+I+G4     2815.905     36  5703.810     5705.708     5893.616
131  TPM3u+F       2804.263     36  5680.526     5682.425     5870.333
132  TPM3u+F+I     2797.622     37  5669.244     5671.250     5864.323
133  TPM3u+F+G4    2797.236     37  5668.472     5670.478     5863.551
134  TPM3u+F+I+G4  2796.946     38  5669.892     5672.008     5870.243
