IQ-TREE multicore version 2.1.3 COVID-edition for Linux 64-bit built Apr 21 2021
Developed by Bui Quang Minh, James Barbetti, Nguyen Lam Tung,
Olga Chernomor, Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    gombessa.rcs.alaska.edu (AVX2, FMA3, 503 GB RAM)
Command: /export/scratch/tsvanorden/Char_Phylogenetics/src/iqtree-2.1.3-Linux/bin/iqtree2 -s 7219at7898.fltrd_aligned.fas -m MFP -bb 1000 -T 1
Seed:    777962 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Tue Dec  2 14:49:58 2025
Kernel:  AVX+FMA - 1 threads (1 CPU cores detected)

Reading alignment file 7219at7898.fltrd_aligned.fas ... Fasta format detected
Alignment most likely contains DNA/RNA sequences
WARNING: 100 sites contain only gaps or ambiguous characters.
Alignment has 20 sequences with 5790 columns, 176 distinct patterns
70 parsimony-informative, 165 singleton sites, 5555 constant sites
                                Gap/Ambiguity  Composition  p-value
   1  251140_Ward_Creek                 2.44%    passed     99.97%
   2  260512_Pybus_Point                2.44%    passed     99.97%
   3  261935_Kenai_River                2.44%    passed     99.99%
   4  353213_Cropley_Lake               2.44%    passed     99.93%
   5  353219_Peterson_Creek             2.44%    passed     99.94%
   6  353220_Fish_Creek                 2.44%    passed     99.97%
   7  353246_Cottonwood_Creek           2.44%    passed     99.87%
   8  353379_Skagit_River              22.04%    passed     68.30%
   9  353381_Dungeness_River           13.64%    passed     99.14%
  10  353401_Peace_River                2.49%    passed     99.99%
  11  353407_Noatok                     2.44%    passed     99.98%
  12  353410_Horizon_Lake               2.44%    passed     99.95%
  13  92319_Little_Lost                 8.96%    passed     90.64%
  14  94280_St_Joe                      2.49%    passed     99.99%
  15  GCA016432855_Lake_Trout           2.95%    passed     99.13%
  16  GCA036784925_Maine_S_alpinus      2.44%    passed     99.99%
  17  GCA045679555_Iceland_A_alpinus    2.44%    passed     99.99%
  18  GCF013265735_Rainbow_Trout        3.52%    passed     97.75%
  19  GCF029448725_Brook_Trout          2.95%    passed     99.01%
  20  Methow_River_99895                2.49%    passed     99.99%
****  TOTAL                             4.42%  0 sequences failed composition chi2 test (p-value<5%; df=3)
NOTE: 353220_Fish_Creek is identical to 260512_Pybus_Point but kept for subsequent analysis
NOTE: 94280_St_Joe is identical to 353401_Peace_River but kept for subsequent analysis
NOTE: GCA045679555_Iceland_A_alpinus is identical to GCA036784925_Maine_S_alpinus but kept for subsequent analysis
NOTE: 1 identical sequences (see below) will be ignored for subsequent analysis
NOTE: Methow_River_99895 (identical to 353401_Peace_River) is ignored but added at the end
Alignment was printed to 7219at7898.fltrd_aligned.fas.uniqueseq.phy

For your convenience alignment with unique sequences printed to 7219at7898.fltrd_aligned.fas.uniqueseq.phy


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.000 seconds
Perform fast likelihood tree search using GTR+I+G model...
Estimate model parameters (epsilon = 5.000)
Perform nearest neighbor interchange...
Estimate model parameters (epsilon = 1.000)
1. Initial log-likelihood: -9440.930
Optimal log-likelihood: -9440.929
Rate parameters:  A-C: 0.72620  A-G: 2.66924  A-T: 0.81600  C-G: 0.29273  C-T: 4.49700  G-T: 1.00000
Base frequencies:  A: 0.229  C: 0.329  G: 0.275  T: 0.168
Proportion of invariable sites: 0.479
Gamma shape alpha: 1.312
Parameters optimization took 1 rounds (0.003 sec)
Time for fast ML tree search: 0.040 seconds

NOTE: ModelFinder requires 1 MB RAM!
ModelFinder will test up to 286 DNA models (sample size: 5790) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  GTR+F         9445.642     43  18977.284    18977.942    19263.831
  2  GTR+F+I       9441.124     44  18970.249    18970.938    19263.460
  3  GTR+F+G4      9441.000     44  18969.999    18970.689    19263.210
  4  GTR+F+I+G4    9440.927     45  18971.855    18972.575    19271.730
  5  GTR+F+R2      9443.121     45  18976.241    18976.962    19276.116
  6  GTR+F+R3      9441.817     47  18977.633    18978.419    19290.836
 14  SYM           9606.914     40  19293.829    19294.399    19560.384
 15  SYM+I         9603.081     41  19288.161    19288.760    19561.380
 16  SYM+G4        9602.948     41  19287.896    19288.495    19561.115
 17  SYM+I+G4      9602.916     42  19289.832    19290.461    19569.715
 27  TVM+F         9451.187     42  18986.374    18987.002    19266.257
 28  TVM+F+I       9446.795     43  18979.590    18980.248    19266.137
 29  TVM+F+G4      9446.668     43  18979.335    18979.994    19265.883
 30  TVM+F+I+G4    9446.602     44  18981.205    18981.894    19274.416
 40  TVMe          9610.130     39  19298.260    19298.803    19558.152
 41  TVMe+I        9606.318     40  19292.636    19293.207    19559.192
 42  TVMe+G4       9606.185     40  19292.370    19292.941    19558.926
 43  TVMe+I+G4     9606.155     41  19294.309    19294.908    19567.529
 53  TIM3+F        9449.019     41  18980.038    18980.637    19253.257
 54  TIM3+F+I      9444.462     42  18972.924    18973.552    19252.807
 55  TIM3+F+G4     9444.340     42  18972.680    18973.309    19252.563
 56  TIM3+F+I+G4   9444.268     43  18974.537    18975.195    19261.084
 66  TIM3e         9609.709     38  19295.418    19295.933    19548.646
 67  TIM3e+I       9605.806     39  19289.611    19290.154    19549.503
 68  TIM3e+G4      9605.678     39  19289.357    19289.899    19549.248
 69  TIM3e+I+G4    9605.643     40  19291.287    19291.857    19557.842
 79  TIM2+F        9450.901     41  18983.802    18984.401    19257.021
 80  TIM2+F+I      9446.429     42  18976.859    18977.487    19256.742
 81  TIM2+F+G4     9446.304     42  18976.608    18977.237    19256.492
 82  TIM2+F+I+G4   9446.231     43  18978.463    18979.121    19265.010
 92  TIM2e         9609.658     38  19295.316    19295.831    19548.543
 93  TIM2e+I       9605.691     39  19289.382    19289.925    19549.274
 94  TIM2e+G4      9605.564     39  19289.127    19289.670    19549.019
 95  TIM2e+I+G4    9605.524     40  19291.048    19291.618    19557.603
105  TIM+F         9448.902     41  18979.804    18980.403    19253.023
106  TIM+F+I       9444.474     42  18972.949    18973.577    19252.832
107  TIM+F+G4      9444.347     42  18972.693    18973.322    19252.577
108  TIM+F+I+G4    9444.271     43  18974.542    18975.201    19261.089
118  TIMe          9607.770     38  19291.541    19292.056    19544.769
119  TIMe+I        9603.908     39  19285.817    19286.359    19545.708
120  TIMe+G4       9603.774     39  19285.548    19286.091    19545.440
121  TIMe+I+G4     9603.740     40  19287.480    19288.050    19554.035
