IQ-TREE multicore version 2.1.3 COVID-edition for Linux 64-bit built Apr 21 2021
Developed by Bui Quang Minh, James Barbetti, Nguyen Lam Tung,
Olga Chernomor, Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    gombessa.rcs.alaska.edu (AVX2, FMA3, 503 GB RAM)
Command: /export/scratch/tsvanorden/Char_Phylogenetics/src/iqtree-2.1.3-Linux/bin/iqtree2 -s 71485at7898.fltrd_aligned.fas -m MFP -bb 1000 -T 1
Seed:    734692 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Tue Dec  2 14:49:52 2025
Kernel:  AVX+FMA - 1 threads (1 CPU cores detected)

Reading alignment file 71485at7898.fltrd_aligned.fas ... Fasta format detected
Alignment most likely contains DNA/RNA sequences
Alignment has 20 sequences with 1077 columns, 49 distinct patterns
15 parsimony-informative, 43 singleton sites, 1019 constant sites
                                Gap/Ambiguity  Composition  p-value
   1  251140_Ward_Creek                 0.00%    passed     99.80%
   2  260512_Pybus_Point                0.00%    passed     99.98%
   3  261935_Kenai_River                0.00%    passed     99.98%
   4  353213_Cropley_Lake               0.00%    passed     99.98%
   5  353219_Peterson_Creek             0.00%    passed     99.89%
   6  353220_Fish_Creek                 0.00%    passed     99.98%
   7  353246_Cottonwood_Creek           0.00%    passed     99.98%
   8  353379_Skagit_River               0.00%    passed     99.97%
   9  353381_Dungeness_River           18.11%    passed     56.20%
  10  353401_Peace_River                0.00%    passed     99.91%
  11  353407_Noatok                     0.00%    passed     99.96%
  12  353410_Horizon_Lake               0.00%    passed     99.97%
  13  92319_Little_Lost                 0.00%    passed     99.97%
  14  94280_St_Joe                      0.00%    passed     99.97%
  15  GCA016432855_Lake_Trout           0.00%    passed     99.86%
  16  GCA036784925_Maine_S_alpinus      0.00%    passed     99.99%
  17  GCA045679555_Iceland_A_alpinus    0.00%    passed     99.99%
  18  GCF013265735_Rainbow_Trout        0.56%    passed     94.42%
  19  GCF029448725_Brook_Trout          0.00%    passed     99.41%
  20  Methow_River_99895                0.00%    passed     99.97%
****  TOTAL                             0.93%  0 sequences failed composition chi2 test (p-value<5%; df=3)
NOTE: 261935_Kenai_River is identical to 260512_Pybus_Point but kept for subsequent analysis
NOTE: 92319_Little_Lost is identical to 353379_Skagit_River but kept for subsequent analysis
NOTE: GCA045679555_Iceland_A_alpinus is identical to GCA036784925_Maine_S_alpinus but kept for subsequent analysis
NOTE: 5 identical sequences (see below) will be ignored for subsequent analysis
NOTE: 353213_Cropley_Lake (identical to 260512_Pybus_Point) is ignored but added at the end
NOTE: 353220_Fish_Creek (identical to 260512_Pybus_Point) is ignored but added at the end
NOTE: 353246_Cottonwood_Creek (identical to 260512_Pybus_Point) is ignored but added at the end
NOTE: 94280_St_Joe (identical to 353379_Skagit_River) is ignored but added at the end
NOTE: Methow_River_99895 (identical to 353379_Skagit_River) is ignored but added at the end
Alignment was printed to 71485at7898.fltrd_aligned.fas.uniqueseq.phy

For your convenience alignment with unique sequences printed to 71485at7898.fltrd_aligned.fas.uniqueseq.phy


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.000 seconds
Perform fast likelihood tree search using GTR+I+G model...
Estimate model parameters (epsilon = 5.000)
Perform nearest neighbor interchange...
Estimate model parameters (epsilon = 1.000)
1. Initial log-likelihood: -1880.145
Optimal log-likelihood: -1880.133
Rate parameters:  A-C: 0.74110  A-G: 1.34767  A-T: 0.78654  C-G: 0.04278  C-T: 0.87893  G-T: 1.00000
Base frequencies:  A: 0.254  C: 0.262  G: 0.254  T: 0.230
Proportion of invariable sites: 0.472
Gamma shape alpha: 0.264
Parameters optimization took 1 rounds (0.002 sec)
Time for fast ML tree search: 0.009 seconds

NOTE: ModelFinder requires 0 MB RAM!
ModelFinder will test up to 286 DNA models (sample size: 1077) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  GTR+F         1884.026     35  3838.052     3840.473     4012.420
  2  GTR+F+I       1880.120     36  3832.239     3834.801     4011.589
  3  GTR+F+G4      1880.344     36  3832.687     3835.249     4012.037
  4  GTR+F+I+G4    1880.131     37  3834.262     3836.969     4018.594
  5  GTR+F+R2      1882.726     37  3839.452     3842.159     4023.784
  6  GTR+F+R3      1881.597     39  3841.195     3844.204     4035.490
 14  SYM           1884.844     32  3833.689     3835.712     3993.111
 15  SYM+I         1880.981     33  3827.963     3830.114     3992.367
 16  SYM+G4        1881.196     33  3828.392     3830.543     3992.795
 17  SYM+I+G4      1881.005     34  3830.010     3832.294     3999.395
 27  TVM+F         1884.545     34  3837.089     3839.373     4006.475
 28  TVM+F+I       1880.624     35  3831.248     3833.668     4005.615
 29  TVM+F+G4      1880.855     35  3831.709     3834.130     4006.077
 30  TVM+F+I+G4    1880.625     36  3833.250     3835.812     4012.600
 40  TVMe          1885.457     31  3832.914     3834.812     3987.354
 41  TVMe+I        1881.606     32  3827.211     3829.234     3986.633
 42  TVMe+G4       1881.815     32  3827.631     3829.654     3987.053
 43  TVMe+I+G4     1881.613     33  3829.225     3831.377     3993.629
 53  TIM3+F        1887.126     33  3840.252     3842.404     4004.656
 54  TIM3+F+I      1883.817     34  3835.633     3837.917     4005.019
 55  TIM3+F+G4     1883.866     34  3835.732     3838.016     4005.117
 56  TIM3+F+I+G4   1883.836     35  3837.673     3840.093     4012.040
 66  TIM3e         1887.945     30  3835.891     3837.669     3985.349
 67  TIM3e+I       1884.669     31  3831.339     3833.237     3985.779
 68  TIM3e+G4      1884.714     31  3831.428     3833.327     3985.868
 69  TIM3e+I+G4    1884.692     32  3833.385     3835.408     3992.807
 79  TIM2+F        1888.808     33  3843.615     3845.767     4008.019
 80  TIM2+F+I      1885.498     34  3838.995     3841.279     4008.381
 81  TIM2+F+G4     1885.549     34  3839.098     3841.382     4008.484
 82  TIM2+F+I+G4   1885.518     35  3841.036     3843.457     4015.404
 92  TIM2e         1889.246     30  3838.491     3840.269     3987.949
 93  TIM2e+I       1885.937     31  3833.874     3835.772     3988.314
 94  TIM2e+G4      1885.989     31  3833.978     3835.876     3988.418
 95  TIM2e+I+G4    1885.962     32  3835.923     3837.946     3995.345
105  TIM+F         1887.788     33  3841.575     3843.727     4005.979
106  TIM+F+I       1884.243     34  3836.487     3838.771     4005.873
107  TIM+F+G4      1884.355     34  3836.711     3838.995     4006.097
108  TIM+F+I+G4    1884.275     35  3838.551     3840.971     4012.918
118  TIMe          1888.231     30  3836.462     3838.240     3985.920
119  TIMe+I        1884.717     31  3831.435     3833.334     3985.875
120  TIMe+G4       1884.820     31  3831.641     3833.539     3986.081
121  TIMe+I+G4     1884.753     32  3833.507     3835.530     3992.928
131  TPM3u+F       1887.646     32  3839.292     3841.315     3998.714
132  TPM3u+F+I     1884.333     33  3834.666     3836.817     3999.070
133  TPM3u+F+G4    1884.383     33  3834.766     3836.918     3999.170
134  TPM3u+F+I+G4  1884.335     34  3836.669     3838.953     4006.055
144  TPM3+F        1887.646     32  3839.292     3841.315     3998.714
